country,year,predicted_value,metric
Bosnia and Herzegovina,2029,370495.13230769336,forest_loss
Bosnia and Herzegovina,2030,383712.64307692274,forest_loss
Bosnia and Herzegovina,2031,396930.15384615585,forest_loss
Bosnia and Herzegovina,2032,410147.66461538523,forest_loss
Bosnia and Herzegovina,2033,423365.1753846146,forest_loss
Bosnia and Herzegovina,2034,436582.6861538477,forest_loss
Bosnia and Herzegovina,2035,449800.1969230771,forest_loss
Bosnia and Herzegovina,2036,463017.7076923102,forest_loss
Bosnia and Herzegovina,2037,476235.2184615396,forest_loss
Bosnia and Herzegovina,2038,489452.729230769,forest_loss
Bosnia and Herzegovina,2039,502670.2400000021,forest_loss
Bosnia and Herzegovina,2040,515887.75076923147,forest_loss
Bosnia and Herzegovina,2041,529105.2615384609,forest_loss
Bosnia and Herzegovina,2042,542322.772307694,forest_loss
Bosnia and Herzegovina,2043,555540.2830769233,forest_loss
Bosnia and Herzegovina,2044,568757.7938461564,forest_loss
Bosnia and Herzegovina,2045,581975.3046153858,forest_loss
Botswana,2026,28734.289999999804,forest_loss
Botswana,2027,29645.681538461475,forest_loss
Botswana,2028,30557.073076922912,forest_loss
Botswana,2029,31468.464615384582,forest_loss
Botswana,2030,32379.85615384602,forest_loss
Botswana,2031,33291.24769230769,forest_loss
Botswana,2032,34202.63923076913,forest_loss
Botswana,2033,35114.0307692308,forest_loss
Botswana,2034,36025.422307692235,forest_loss
Botswana,2035,36936.81384615367,forest_loss
Botswana,2036,37848.20538461534,forest_loss
Botswana,2037,38759.59692307678,forest_loss
Botswana,2038,39670.98846153845,forest_loss
Botswana,2039,40582.37999999989,forest_loss
Botswana,2040,41493.77153846156,forest_loss
Botswana,2041,42405.163076922996,forest_loss
Botswana,2042,43316.55461538443,forest_loss
Botswana,2043,44227.946153846104,forest_loss
Botswana,2044,45139.33769230754,forest_loss
Botswana,2045,46050.72923076921,forest_loss
Brazil,2026,599174668.2900009,forest_loss
Brazil,2027,622028831.5184631,forest_loss
Brazil,2028,644882994.7469254,forest_loss
Brazil,2029,667737157.9753876,forest_loss
Brazil,2030,690591321.2038498,forest_loss
Brazil,2031,713445484.432312,forest_loss
Brazil,2032,736299647.6607666,forest_loss
Brazil,2033,759153810.8892288,forest_loss
Brazil,2034,782007974.117691,forest_loss
Brazil,2035,804862137.3461533,forest_loss
Brazil,2036,827716300.5746155,forest_loss
Brazil,2037,850570463.8030777,forest_loss
Brazil,2038,873424627.0315399,forest_loss
Brazil,2039,896278790.2600021,forest_loss
Brazil,2040,919132953.4884644,forest_loss
Brazil,2041,941987116.7169266,forest_loss
Brazil,2042,964841279.9453888,forest_loss
Brazil,2043,987695443.1738434,forest_loss
Brazil,2044,1010549606.4023056,forest_loss
Brazil,2045,1033403769.6307678,forest_loss
British Virgin Islands,2026,2701.890000000014,forest_loss
British Virgin Islands,2027,2829.767692307709,forest_loss
British Virgin Islands,2028,2957.6453846154036,forest_loss
British Virgin Islands,2029,3085.5230769230984,forest_loss
British Virgin Islands,2030,3213.4007692307932,forest_loss
British Virgin Islands,2031,3341.278461538459,forest_loss
British Virgin Islands,2032,3469.1561538461538,forest_loss
